time_s,total_packets,bytes_in_flight_avg,bytes_in_flight_max,throughput_bps,sack_count,window_size,retransmissions,dupacks,ooo_packets,zero_window_probes,mss_avg,data_bytes,goodput_bps,retrans_rate_pct,ooo_rate_pct,avg_window
0,27,4397.333333,4397.333333,123104,0,0,0,0,0,27,1460,15388,123104,0,0,0
1,11,0.363636364,0.363636364,720,0,0,0,0,0,11,1460,180,720,0,0,0
4,2,0,0,108.8,0,0,0,0,0,2,1460,68,108.8,0,0,0
5,4,0,0,152,1,0,0,0,0,4,1460,114,152,0,0,0
6,4,0.25,0.25,204.5714286,0,0,0,0,0,4,1460,179,204.5714286,0,0,0
7,20,858993454.6,858993454.6,286,1,0,4,0,0,20,1460,286,286,20,0,0
8,25,343597394.8,343597394.8,332.4444444,1,0,2,0,0,25,1460,374,332.4444444,8,0,0
9,11,15.90909091,15.90909091,232.8,0,0,0,0,0,11,1460,291,232.8,0,0,0
10,3,0,0,199.2727273,0,0,0,0,0,3,1460,274,199.2727273,0,0,0
11,34,2228.441176,2228.441176,18962.66667,1,0,0,0,0,34,1460,28444,18962.66667,0,0,0
12,60,1327.533333,1327.533333,17964.30769,1,0,0,0,0,60,1460,29192,17964.30769,0,0,0
16,4,1.25,1.25,241.8823529,0,0,0,0,0,4,1460,514,241.8823529,0,0,0
17,4,0,0,31.11111111,1,0,0,0,0,4,1460,70,31.11111111,0,0,0
18,2,0,0,7.157894737,1,0,0,0,0,2,1460,17,7.157894737,0,0,0
19,3,0,0,24,0,0,0,0,0,3,1460,60,24,0,0,0
20,7,0,0,32,0,0,0,0,0,7,1460,84,32,0,0,0
21,16,0.3125,0.3125,202.1818182,0,0,0,0,0,16,1460,556,202.1818182,0,0,0
22,76,1204.618421,1204.618421,7884.173913,1,0,3,3,0,76,1460,22667,7884.173913,3.947368421,0,0
23,16,1.9375,1.9375,168,0,0,1,1,0,16,1460,504,168,6.25,0,0
24,4,0.25,0.25,19.2,0,0,0,0,0,4,1460,60,19.2,0,0,0
25,6,3.833333333,3.833333333,49.53846154,1,0,0,0,0,6,1460,161,49.53846154,0,0,0
27,62,82.9516129,82.9516129,2411.428571,0,0,0,0,0,62,1460,8440,2411.428571,0,0,0
28,48,16.5625,16.5625,393.6551724,0,0,1,1,0,48,1460,1427,393.6551724,2.083333333,0,0
29,200,58.745,58.745,5421.866667,0,0,0,0,0,200,1460,20332,5421.866667,0,0,0
30,369,318.300813,318.300813,18777.03226,0,0,0,0,0,369,1460,72761,18777.03226,0,0,0
