time_s,total_packets,bytes_in_flight_avg,bytes_in_flight_max,throughput_bps,sack_count,window_size,retransmissions,dupacks,ooo_packets,zero_window_probes,mss_avg,data_bytes,goodput_bps,retrans_rate_pct,ooo_rate_pct,avg_window
0,22,1202.5454545454545,1202.5454545454545,60352.0,0,0,0,0,0,22,1460,7544,60352.0,0.0,0.0,0.0
1,6,676.0,676.0,1316.0,0,0,0,0,0,6,1460,329,1316.0,0.0,0.0,0.0
2,12,0.0,0.0,64.0,0,0,0,0,0,12,1460,24,64.0,0.0,0.0,0.0
4,1,0.0,0.0,49.6,0,0,0,0,0,1,1460,31,49.6,0.0,0.0,0.0
8,4,2.75,2.75,155.55555555555554,0,0,0,0,0,4,1460,175,155.55555555555554,0.0,0.0,0.0
9,3,0.0,0.0,46.4,0,0,0,0,0,3,1460,58,46.4,0.0,0.0,0.0
12,19,0.0,0.0,1120.0,0,0,0,0,0,19,1460,1820,1120.0,0.0,0.0,0.0
16,9,2.2222222222222223,2.2222222222222223,537.4117647058823,0,0,0,0,0,9,1460,1142,537.4117647058823,0.0,0.0,0.0
17,1,34.0,34.0,0.0,0,0,0,0,0,1,1460,0,0.0,0.0,0.0,0.0
18,1,0.0,0.0,5.052631578947368,0,0,0,0,0,1,1460,12,5.052631578947368,0.0,0.0,0.0
19,21,57.42857142857143,57.42857142857143,1295.6,0,0,2,0,0,21,1460,3239,1295.6,9.523809523809524,0.0,0.0
20,13,23.0,23.0,632.7619047619048,0,0,0,0,0,13,1460,1661,632.7619047619048,0.0,0.0,0.0
21,36,58.47222222222222,58.47222222222222,4209.818181818182,1,0,2,1,0,36,1460,11577,4209.818181818182,5.555555555555555,0.0,0.0
22,9,73.88888888888889,73.88888888888889,41.04347826086956,0,0,1,0,0,9,1460,118,41.04347826086956,11.11111111111111,0.0,0.0
23,9,93.77777777777777,93.77777777777777,185.0,1,0,0,0,0,9,1460,555,185.0,0.0,0.0,0.0
24,22,394.3181818181818,394.3181818181818,1193.28,0,0,0,0,0,22,1460,3729,1193.28,0.0,0.0,0.0
25,10,1447.7,1447.7,278.7692307692308,0,0,1,0,0,10,1460,906,278.7692307692308,10.0,0.0,0.0
26,7,1614.4285714285713,1614.4285714285713,155.85185185185185,0,0,0,0,0,7,1460,526,155.85185185185185,0.0,0.0,0.0
27,4,1436.25,1436.25,53.42857142857143,0,0,0,0,0,4,1460,187,53.42857142857143,0.0,0.0,0.0
28,2,1419.0,1419.0,19.586206896551722,0,0,0,0,0,2,1460,71,19.586206896551722,0.0,0.0,0.0
29,3,0.0,0.0,15.466666666666667,0,0,0,0,0,3,1460,58,15.466666666666667,0.0,0.0,0.0
30,1,0.0,0.0,4003.3548387096776,0,0,0,0,0,1,1460,15513,4003.3548387096776,0.0,0.0,0.0
31,40,2888.55,2888.55,7530.25,1,0,1,1,0,40,1460,30121,7530.25,2.5,0.0,0.0
36,4,0.0,0.0,5.1891891891891895,0,0,3,0,0,4,1460,24,5.1891891891891895,75.0,0.0,0.0
37,4,0.0,0.0,5.052631578947368,0,0,3,0,0,4,1460,24,5.052631578947368,75.0,0.0,0.0
38,1,0.0,0.0,1.2307692307692308,0,0,1,0,0,1,1460,6,1.2307692307692308,100.0,0.0,0.0
39,2,0.0,0.0,2.4,0,0,2,0,0,2,1460,12,2.4,100.0,0.0,0.0
40,1,0.0,0.0,1.170731707317073,0,0,1,0,0,1,1460,6,1.170731707317073,100.0,0.0,0.0
42,1,16047.0,16047.0,24.186046511627907,0,0,0,0,0,1,1460,130,24.186046511627907,0.0,0.0,0.0
43,2,0.0,0.0,1.0909090909090908,0,0,1,0,0,2,1460,6,1.0909090909090908,50.0,0.0,0.0
44,1,0.0,0.0,1.0666666666666667,0,0,1,0,0,1,1460,6,1.0666666666666667,100.0,0.0,0.0
47,2,8088.5,8088.5,22.0,0,0,0,0,0,2,1460,132,22.0,0.0,0.0,0.0
48,1,0.0,0.0,5.061224489795919,0,0,1,0,0,1,1460,31,5.061224489795919,100.0,0.0,0.0
49,3,0.0,0.0,9.28,0,0,0,0,0,3,1460,58,9.28,0.0,0.0,0.0
50,1,0.0,0.0,0.9411764705882353,0,0,1,0,0,1,1460,6,0.9411764705882353,100.0,0.0,0.0
51,1,0.0,0.0,0.9230769230769231,0,0,1,0,0,1,1460,6,0.9230769230769231,100.0,0.0,0.0
52,4,8003.0,8003.0,142.49056603773585,0,0,0,0,0,4,1460,944,142.49056603773585,0.0,0.0,0.0
54,2,8286.0,8286.0,10.909090909090908,0,0,0,0,0,2,1460,75,10.909090909090908,0.0,0.0,0.0
55,4,8254.0,8254.0,20.142857142857142,0,0,0,0,0,4,1460,141,20.142857142857142,0.0,0.0,0.0
63,2,8088.5,8088.5,51.0,0,0,0,0,0,2,1460,408,51.0,0.0,0.0,0.0
64,6,8153.5,8153.5,103.63076923076923,0,0,0,0,0,6,1460,842,103.63076923076923,0.0,0.0,0.0
65,2,0.0,0.0,1.4545454545454546,0,0,2,0,0,2,1460,12,1.4545454545454546,100.0,0.0,0.0
66,4,14.25,14.25,20.895522388059703,0,0,0,0,0,4,1460,175,20.895522388059703,0.0,0.0,0.0
68,2,0.0,0.0,1.9710144927536233,1,0,0,0,0,2,1460,17,1.9710144927536233,0.0,0.0,0.0
69,3,3.3333333333333335,3.3333333333333335,6.628571428571429,0,0,0,0,0,3,1460,58,6.628571428571429,0.0,0.0,0.0
73,4,21.75,21.75,18.91891891891892,0,0,0,0,0,4,1460,175,18.91891891891892,0.0,0.0,0.0
79,1,0.0,0.0,15.1,0,0,0,0,0,1,1460,151,15.1,0.0,0.0,0.0
80,18,101.05555555555556,101.05555555555556,3.5555555555555554,0,0,0,0,0,18,1460,36,3.5555555555555554,0.0,0.0,0.0
81,5,0.0,0.0,56.292682926829265,0,0,0,0,0,5,1460,577,56.292682926829265,0.0,0.0,0.0
82,2,0.0,0.0,14.650602409638553,0,0,0,0,0,2,1460,152,14.650602409638553,0.0,0.0,0.0
84,7,4755.428571428572,4755.428571428572,14.305882352941177,0,0,0,0,0,7,1460,152,14.305882352941177,0.0,0.0,0.0
89,2,51.5,51.5,4.622222222222222,0,0,0,0,0,2,1460,52,4.622222222222222,0.0,0.0,0.0
90,6,715830675.1666666,715830675.1666666,7.2967032967032965,0,0,2,0,0,6,1460,83,7.2967032967032965,33.33333333333333,0.0,0.0
91,43,199769689.4651163,199769689.4651163,2673.304347826087,1,0,3,0,0,43,1460,30743,2673.304347826087,6.976744186046512,0.0,0.0
92,1,4294967265.0,4294967265.0,2.6666666666666665,0,0,1,0,0,1,1460,31,2.6666666666666665,100.0,0.0,0.0
93,2,0.0,0.0,1.0212765957446808,0,0,2,0,0,2,1460,12,1.0212765957446808,100.0,0.0,0.0
94,1,4294967265.0,4294967265.0,2.610526315789474,0,0,1,0,0,1,1460,31,2.610526315789474,100.0,0.0,0.0
95,21,409045486.47619045,409045486.47619045,1396.1666666666667,0,0,3,0,0,21,1460,16754,1396.1666666666667,14.285714285714285,0.0,0.0
96,3,1431655757.3333333,1431655757.3333333,74.30927835051547,0,0,1,0,0,3,1460,901,74.30927835051547,33.33333333333333,0.0,0.0
97,2,4294967268.5,4294967268.5,4.489795918367347,0,0,2,0,0,2,1460,55,4.489795918367347,100.0,0.0,0.0
98,1,4294967272.0,4294967272.0,1.9393939393939394,0,0,1,0,0,1,1460,24,1.9393939393939394,100.0,0.0,0.0
102,1,4294967272.0,4294967272.0,1.8640776699029127,0,0,1,0,0,1,1460,24,1.8640776699029127,100.0,0.0,0.0
104,1,4294967265.0,4294967265.0,2.361904761904762,0,0,1,0,0,1,1460,31,2.361904761904762,100.0,0.0,0.0
109,1,4294967272.0,4294967272.0,1.7454545454545454,0,0,1,0,0,1,1460,24,1.7454545454545454,100.0,0.0,0.0
110,3,64.66666666666667,64.66666666666667,4.18018018018018,0,0,0,0,0,3,1460,58,4.18018018018018,0.0,0.0,0.0
113,2,0.0,0.0,1.1929824561403508,1,0,0,0,0,2,1460,17,1.1929824561403508,0.0,0.0,0.0
118,1,4294967265.0,4294967265.0,2.0840336134453783,0,0,1,0,0,1,1460,31,2.0840336134453783,100.0,0.0,0.0
123,1,4294967272.0,4294967272.0,1.5483870967741935,0,0,1,0,0,1,1460,24,1.5483870967741935,100.0,0.0,0.0
129,3,62.0,62.0,3.5692307692307694,0,0,0,0,0,3,1460,58,3.5692307692307694,0.0,0.0,0.0
139,2,45.5,45.5,8.685714285714285,0,0,0,0,0,2,1460,152,8.685714285714285,0.0,0.0,0.0
146,1,4294967265.0,4294967265.0,1.6870748299319729,0,0,1,0,0,1,1460,31,1.6870748299319729,100.0,0.0,0.0
149,2,121.5,121.5,2.7733333333333334,0,0,0,0,0,2,1460,52,2.7733333333333334,0.0,0.0,0.0
150,2,2147483755.5,2147483755.5,1.5894039735099337,0,0,1,0,0,2,1460,30,1.5894039735099337,50.0,0.0,0.0
